Проект,Категории,Цена,Заявки
Разработка логотипа.,Знаки/Логотипы,$70,33 заявки
Приложение или макрос Excel,Прикладное ПО,,7 заявок
Договор,Юридические услуги,,12 заявок
Доработка сайта,Веб-программирование,,3 заявки
Создать (или исправить косяк в существующей) форму Getresponse.,Веб-программирование,,2 заявки
Натянуть адаптивную верстку на сайт! (верстка есть),Веб-программирование,$750,5 заявок
Требуется дизайнер для отрисовки несколько фич по ТЗ для hrsanner.ru,Дизайн сайтов,,16 заявок
Программирование,Дипломы/Курсовые/Рефераты,,нет заявок
Сверстать один простой блок по шаблону,HTML-верстка,$5,исполнитель выбран
Техдизайн: сделать коллаж с интегрированием 3d-объекта в ландшафт,3D-графика,,6 заявок
Требуется smm специалист для написания статьи в группу,Социальные сети (SMM/SMO),,2 заявки
Требуется юзабилити специалист для hrscanner.ru,Тестирование сайтов,,9 заявок
Требуется транскрибатор для расшифровки вебинара,Редактирование/Корректировка,,34 заявки
Требуется копирайтер для написание новости для проекта hrscanner,Новости/Статьи/Обзоры,,1 заявка
Разработка корпоративной визитки,Фирменный стиль,,исполнитель выбран
Соединить несколько облаков точек в 3d-модель,3D-графика,,9 заявок
Разработка сайта вакансий,"HTML-верстка, Системы управления (CMS)",,исполнитель выбран
Только для геймеров! Модератор/администратор,"Служба поддержки, Управление проектами",,17 заявок
"Внести доработки на сайт, CMS - DLE",Веб-программирование,$180,3 заявки
CSS-верстка веб-формы,HTML-верстка,,исполнитель выбран
Нужна тема для ВебАсиста,Интернет-магазины,,нет заявок
Корректировка перевода Гугл Транслейт,Редактирование/Корректировка,,18 заявок
Портировать дописанный функционал плагина с Moodle 1.9 на Moodle 3.0,Веб-программирование,$40,нет заявок
Разработать десктопное приложение,Прикладное ПО,,6 заявок
Доработка и рефакторинг JS фронтенда на Knockout Angular,Веб-программирование,,нет заявок
Доработка сайта,Веб-программирование,,4 заявки
Реализовать REST API на Yii2,Системы управления (CMS),,4 заявки
Создание баннеров для сайта и социальных сетей,Баннеры,,12 заявок
Два баннера на лендинг.,Баннеры,,4 заявки
Доработать REST API на Symphony,Системы управления (CMS),,1 заявка
Нужно сделать обзор бук.конторы,Копирайтинг/Рерайтинг,,8 заявок
"Логотип для детского коллектива ""Джамбли""",Знаки/Логотипы,,11 заявок
Разработка логотипа для рекламного агентства АК КАРА,Знаки/Логотипы,,13 заявок
Требуется сайт с нуля на опенкарте,"HTML-верстка, Веб-программирование",,7 заявок
Требуется сайт с нуля на опенкарте,"HTML-верстка, Веб-программирование",,7 заявок
Удалить копромат из индекса,Поисковые системы (SEO),,4 заявки
"Настройка РК (US, UK, англ яз) в GA, facebook (etc), tw, inst",Контекстная реклама,,1 заявка
Требуется изоготовление контента,Наполнение сайтов,,57 заявок
"Программирование Delphi/C++/C#, Встраивание ЦВЗ",Прикладное ПО,,нет заявок
Требуется программист ASP.NET C# со знанием MVC LINQ,Прикладное ПО,,2 заявки
Mr.Polbee,Копирайтинг/Рерайтинг,,1 заявка
Рисунок по фотографии,Иллюстрации/Рисунки,$8,21 заявка
Адаптивный дизайн сайта,Дизайн сайтов,$500,исполнитель выбран
"Доработать проект на MODX - правки в верстке, в функционале",Веб-программирование,,4 заявки
Mr.Polbee,3D-графика,,5 заявок
«Перевести лендинг 1 станица»,Переводы,,16 заявок
Логотип. Фирменный стиль,Знаки/Логотипы,,16 заявок
Нужно сделать оповещение о приходе сообщения на рабочий стол,Веб-программирование,,3 заявки
Натяжка сайта визитки,Веб-программирование,,4 заявки
Сверстать сайт,HTML-верстка,,23 заявки
"Посты и репосты на форумах/соцсетях по списку, продвижение проекта",Поисковые системы (SEO),,5 заявок
Необходимо создать чертеж в формате SТL.,Чертежи/Схемы,$20,17 заявок
SEO продвиижение,Поисковые системы (SEO),$700,26 заявок
Разработка он-лайн информационно-АНАЛИТИЧЕСКИХ систем (+ Mob Apps),ПО для мобильных устройств,,2 заявки
Нарисовать логотип для театрально-концертной организации,Знаки/Логотипы,$2,5 заявок
Перенос базы 1с Бухгалтерия  из версии Проф в версию 1с базовая,1С-программирование,,2 заявки
Доработки процесса оформления заказа в WooCommerce 4.5.2,Веб-программирование,,1 заявка
"Надо поправить вёрстку форм под Iphone, Ipad",HTML-верстка,,2 заявки
Ошибка MySQL error на сервере,Системное администрирование,,13 заявок
Сделать сайт одностраничник и разместить инфо (в приложении),Сайты «под ключ»,$300,41 заявка
4629_Курсовой проект_Базы данных,Базы данных,,2 заявки
Правки на готовом сайте (joomla),Веб-программирование,,исполнитель выбран
Создание и раскрутка группы Вконтакте,Социальные сети (SMM/SMO),,12 заявок
Ищу копирайтеров для написаний статей о создании сайтов и бодибилдинге,Копирайтинг/Рерайтинг,,14 заявок
Шаблон для Wordress по дизайну существующего сайта,"HTML-верстка, Дизайн сайтов",,10 заявок
Нужен дизайн для блога,Дизайн сайтов,,31 заявка
Нужен оператор квадрокоптера в Ярославле,Фотография (съемка),$23,нет заявок
Вылечить сайты на Джумле,Веб-программирование,,7 заявок
Проект (запостить объявления),Социальные сети (SMM/SMO),,1 заявка
"Логотип, фирменный стиль, сайт","Знаки/Логотипы, Фирменный стиль",,4 заявки
План продвижения Интернет-Магазина,Поисковые системы (SEO),,13 заявок
"Программирование сайта на MODX, YII2 либо другом фреймворке",Веб-программирование,,7 заявок
Скрипт для обработки формы обратной связи,Веб-программирование,,11 заявок
Сделать анализ,Дипломы/Курсовые/Рефераты,,нет заявок
Скрипт для обработки формы обратной связи,Веб-программирование,,11 заявок
Сделать анализ,Дипломы/Курсовые/Рефераты,,нет заявок
Курсовая теория по теоретич. механике без расчетов,Дипломы/Курсовые/Рефераты,,нет заявок
Срочно надо сделать отчет,Дипломы/Курсовые/Рефераты,,нет заявок
Дисциплина: водоснабжение,Дипломы/Курсовые/Рефераты,,нет заявок
"Пояснительная записка, смета",Дипломы/Курсовые/Рефераты,,нет заявок
Проект (программирование),Системное программирование,,нет заявок
Семь задач,Дипломы/Курсовые/Рефераты,,1 заявка
Экзамен по физике (завтра),Дипломы/Курсовые/Рефераты,,нет заявок
30 статей для строительного сайта,Копирайтинг/Рерайтинг,,17 заявок
Разработка сайта на UII2 (дизайн и верстку предоставим),Веб-программирование,,3 заявки
Тех задание для разработчиков sitemap,Веб-программирование,,нет заявок
"Задание №2 -сложное, личные кабинеты и социальную активность на портал",Веб-программирование,$450,3 заявки
"Задание №1 - простое, сайт-каталог на WordPress",Веб-программирование,$50,2 заявки
Тексты для постов в Инстаграм,Копирайтинг/Рерайтинг,,13 заявок
Защитить флеш-игры от Cheat Engine,Разработка игр,,2 заявки
Получать ответы почтовых серверов при рассылке писем,Системное администрирование,,5 заявок
Небольшое приложение на Андроид,ПО для мобильных устройств,,7 заявок
"Требуется размещение отзывов на сайтах Otzovik, Irecommened",Наполнение сайтов,,нет заявок
Рерайт 20 статей по теме международных перевозок (1),Копирайтинг/Рерайтинг,,исполнитель выбран
SEO-оптимизатор на проект,Поисковые системы (SEO),,6 заявок
Приглашение участников по базе (разовая работа),Служба поддержки,,40 заявок
Верстка рекламного буклета А3,Верстка полиграфии,$80,8 заявок
"Нужен программист на битрикс, для правок шаблона",Веб-программирование,,3 заявки
Нужен рерайтер на игровой проект,Копирайтинг/Рерайтинг,,9 заявок
Нужно сверстать каталог для полиграфии,Верстка полиграфии,,14 заявок
Сделать похожий сайт,Сайты «под ключ»,,21 заявка
Размещение и постинг отзывов,Социальные сети (SMM/SMO),$50,10 заявок
"Нужно установить на сервер yum,rpm,curl",Системное администрирование,$5,13 заявок
Доработать существующее расширение для opencart(ocstore) v1.5.5.1.2,Интернет-магазины,,нет заявок
Нужен код на PHP поиск и замена текста.,Веб-программирование,,3 заявки
Размещение объявлений на Авито под ключ,Наполнение сайтов,,1 заявка
Требуется написать диплом,Дипломы/Курсовые/Рефераты,,7 заявок
Сценарий для дудл-видео,Копирайтинг/Рерайтинг,$47,5 заявок
Рерайт статьи,Копирайтинг/Рерайтинг,,22 заявки
Логотип,Знаки/Логотипы,,25 заявок
"Цeнoвaя пoлитикa фиpмы, практическая часть курсовой",Дипломы/Курсовые/Рефераты,,3 заявки
Дизайн шапки сайта,Дизайн сайтов,,исполнитель выбран
Верстка и натяжка,HTML-верстка,,исполнитель выбран
Провести технический SEO-аудит интернет-магазина (OPencart),Веб-программирование,,1 заявка
Провести технический SEO-аудит интернет-магазина (OPencart),Веб-программирование,,1 заявка
Серверная часть web-приложения c#,"Системное программирование, Прикладное ПО",,3 заявки
"Диплом, 3aгpязнeниe aтмocфepы в городе и области",Дипломы/Курсовые/Рефераты,,2 заявки
Разработка логотипа,Знаки/Логотипы,$80,37 заявок
Требуется найти и устранить ошибку в коде сайта.,Веб-программирование,,3 заявки
Размещение ссылок по форумам,Копирайтинг/Рерайтинг,,5 заявок
Нужно скопировать сайт,Веб-программирование,$50,3 заявки
Разработка сайта на WP,"HTML-верстка, Наполнение сайтов",,исполнитель выбран
Правки сайта Multilanding на Wordpress,Веб-программирование,$50,1 заявка
Вёрстка карты,HTML-верстка,,11 заявок
Рерайт диплома факультет электроники,Дипломы/Курсовые/Рефераты,,3 заявки
Создать вебинар,"Социальные сети (SMM/SMO), Веб-программирование",,6 заявок
Доработать сайт,Веб-программирование,,1 заявка
Описания категорий и товара(коляски детские),Копирайтинг/Рерайтинг,,28 заявок
Перевод с русского на итальянский. Огнеупорные покрытия,Переводы,,7 заявок
Магазин рандомных покупок,Веб-программирование,,1 заявка
Дизайн сайта туристической компании,Дизайн сайтов,,исполнитель выбран
Перевести таблицы спецификации в текстовую форму,Редактирование/Корректировка,,6 заявок
Доредактировать код и настроить форум на phpBB,Системы управления (CMS),,1 заявка
Установить и настроить плагин WP,Системы управления (CMS),,нет заявок
Инфографика_Итоги деятельности НАТР,Иллюстрации/Рисунки,,4 заявки
Доработка сайта,"Веб-программирование, HTML-верстка",,2 заявки
Astra.CMS выгрузка данных о товарах на сайт из файла .xml,Системы управления (CMS),,2 заявки
Сайт недвижимости,Сайты «под ключ»,,20 заявок
Работа с форумами,Наполнение сайтов,,7 заявок
Нужно накидать красивый текст для сайта компании о перспективах,Копирайтинг/Рерайтинг,,7 заявок
Работа с Word Press,Веб-программирование,,1 заявка
Парсер товаров из интернет магазина на opencart,Веб-программирование,,3 заявки
Чертежи в компасе,Чертежи/Схемы,,19 заявок
Программирование на языке джава,Прикладное ПО,,1 заявка
Визитка и наклейка,Дизайн продукции,$10,17 заявок
Курсовая по матлабу,Дипломы/Курсовые/Рефераты,,1 заявка
Нужен программист написать скрипт для реферальной программы,Веб-программирование,,3 заявки
Перевод с русского на испанский,Переводы,,11 заявок
Необходимо выполнить задачи по бухгалтерскому учету.,Дипломы/Курсовые/Рефераты,,3 заявки
Зарегистрировать несколько сайтов в каталогах и справочниках вручную,Наполнение сайтов,,7 заявок
Перенести форму брони на сайт,Веб-программирование,,исполнитель выбран
Доработка готового решения Bitrix,Веб-программирование,,1 заявка
Сервер для игры (node.js),Веб-программирование,,7 заявок
Опубликовать 30 статей на CMS Wordpress,Наполнение сайтов,,41 заявка
Вёрстка wordpress,HTML-верстка,,9 заявок
Правки сайта на движке БИТРИКСА,HTML-верстка,,11 заявок
Срочный диплом по бухучету,Дипломы/Курсовые/Рефераты,,исполнитель выбран
Сбор и сопоставление данных из реестра Росаккредитации,Тестирование сайтов,,4 заявки
"Наполнение, SEO, запуск рекламы, вывод в ТОП. Интернет магазин",Поисковые системы (SEO),,18 заявок
Наполнение сайта товарами+знание сео,Наполнение сайтов,,30 заявок
Разработка приложения на базе Excel по автоматизации подготовки КП,Прикладное ПО,,9 заявок
MODX: Revolution::schema xPDO:::Manager Page (component),Системы управления (CMS),,нет заявок
"Доработка модуля ""мерчант"", модуль приема платежей онлайн.",Веб-программирование,,нет заявок
Создать группу в vk и ok,Социальные сети (SMM/SMO),$15,18 заявок
Настроить wodpres seo.,Системы управления (CMS),$18,4 заявки
Плавное появление картинок в oscommerce,HTML-верстка,$30,2 заявки
Курсовая работа по ТГП срочно,Дипломы/Курсовые/Рефераты,,4 заявки
Сверстать-анимировать HTML баннер для GoogleAdwords,HTML-верстка,,7 заявок
Доработка сайта на WP,Веб-программирование,,3 заявки
Подправить плагин на WordPress,Веб-программирование,,исполнитель выбран
Диплом (укр.),Дипломы/Курсовые/Рефераты,,1 заявка
Карта России. html.  На регионах ставится значок и ссылка.,Веб-программирование,$10,5 заявок
CSS/JS-верстка веб-калькулятора (веб-формы) по готовому макету дизайна,HTML-верстка,,2 заявки
Продвижение сайта по инвестициям,Поисковые системы (SEO),,13 заявок
Дизайн веб-калькулятора (веб-форма) по готовому образцу,Дизайн сайтов,,10 заявок
Верстка и программирование веб-сервиса,Веб-программирование,$1800,7 заявок
Перенос контента в интернет-магазин,Веб-программирование,,3 заявки
Решить задания по алгебре и геометрии,Дипломы/Курсовые/Рефераты,,13 заявок
Нарисовать концепцию дизайна (1-ый экран),Дизайн сайтов,,17 заявок
CRM агентства недвижимости,Веб-программирование,,9 заявок
Программирование интерактивного теста егэ в формате php,Прикладное ПО,$200,3 заявки
JS который заменит url отображаемый в браузере,Веб-программирование,$3,5 заявок
Настроить в Гугл Аналитикс AB тестирование главной страницы,Контекстная реклама,,1 заявка
"Курсовая, численные методы",Дипломы/Курсовые/Рефераты,,нет заявок
Создание сайта с нуля.,Сайты «под ключ»,,26 заявок
Поиск способов совершенствования системы безопасности умного дома,Прикладное ПО,,нет заявок
Нарисовать 5 баннеров,Баннеры,,21 заявка
Курсовая работа -  срочно,Дипломы/Курсовые/Рефераты,,2 заявки
Приложение для интернет радиостанции.,ПО для мобильных устройств,,7 заявок
Нужен верстальщик,HTML-верстка,,38 заявок
Нужно нагнать посетителей на статью,Поисковые системы (SEO),,3 заявки
Группа ВКонтакте с прогнозами на спорт,Социальные сети (SMM/SMO),,7 заявок
Необходимо сделать неопределенное количество постов в социальных сейт,Социальные сети (SMM/SMO),,5 заявок
Исправление багов на Safari,Веб-программирование,$50,2 заявки
Разработка прикладного ПО для автоматических установщиков радиоэлемент,Прикладное ПО,,нет заявок
Доработка сайта на php / xslt,Веб-программирование,,нет заявок
Ищу эксперта Javascript с опытом работы на Upwork,Веб-программирование,,3 заявки
Автоматизация сайта,Прикладное ПО,,2 заявки
SEO продвижение интернет магазин,Поисковые системы (SEO),,13 заявок
Разработка серии продающих баннеров.,Баннеры,,9 заявок
Создать двуязычный (eng/rus) одностраничник на wordpress,Системы управления (CMS),,2 заявки
Нужно разместить пост в социальных сетях,Социальные сети (SMM/SMO),,5 заявок
Программист для Joomla,Системы управления (CMS),,2 заявки
Нужно сверстать и натянуть диз на дле 11,HTML-верстка,$50,5 заявок
SEO Аудит сайта + Оптимизация,Поисковые системы (SEO),,исполнитель выбран
Дизайн двухсторонней визитки А,Дизайн продукции,$12,10 заявок
Создание сайта с автоматизироваым сбором данных,Сайты «под ключ»,,8 заявок
Сделать 30 секундный мультяшный ролик для yotube,Видеомонтаж,,6 заявок
Ruby разработка функционала личного кабинета,Веб-программирование,,3 заявки
Верстка в HTML,HTML-верстка,,исполнитель выбран
Парсер,Веб-программирование,,6 заявок
Портал  уровня aliexpress (возможно разрабока на битрикс),Интернет-магазины,,5 заявок
"Разработчик фидов для Яндекс Маркета, Google.Покупок",Интернет-магазины,,1 заявка
Нужно прочитать текст на камеру,Озвучивание,,30 заявок
Дизайн логотипа,Знаки/Логотипы,$12,11 заявок
Наполнить разделы информационного сайта контентом,Наполнение сайтов,,3 заявки
"Макет, стиль, иллюстрации и анимации для детского приложения (iPad)",Интерфейсы игр и программ,,3 заявки
Ruby: разработка чата на сайте,Веб-программирование,,нет заявок
Разработка еврофлаера,Дизайн продукции,,12 заявок
Редизайн сайта,Дизайн сайтов,,40 заявок
Разработка сложного сайта с нуля,Веб-программирование,,9 заявок
Тестирование iOS приложения,Тестирование ПО,,4 заявки
"ImageCMS - Нужен специалист на ""допиливание"" магазина",Интернет-магазины,,нет заявок
Написание текста на Испанском,Копирайтинг/Рерайтинг,,1 заявка
Перевод с русского на арабский,Переводы,,6 заявок
Спойлер для меню,HTML-верстка,,6 заявок
Сделать спойлер для меню,HTML-верстка,,4 заявки
Качественные тексты для сайта автосервиса,Копирайтинг/Рерайтинг,$50,13 заявок
Курсовая работа,Дипломы/Курсовые/Рефераты,,нет заявок
Разработка b2b web портала,Интернет-магазины,$2000,6 заявок
Сайт autoserp.ru- поменять блоки контекста от Яндекса,Веб-программирование,,2 заявки
Link building. размещение постов с ссылкой на форумах,Социальные сети (SMM/SMO),,1 заявка
Не выводится галерея NGG gallery под  Wordpress,Веб-программирование,,3 заявки
Текст для презентации,Копирайтинг/Рерайтинг,,9 заявок
Web-дизайнер для проекта,Дизайн сайтов,,33 заявки
Разработка мобильного приложения AppStore + Google Play,ПО для мобильных устройств,,6 заявок
Продвижение сайта клуба&интернет-магазина,Поисковые системы (SEO),,15 заявок
Изменить дизайн форума.,Дизайн сайтов,,7 заявок
Собрать ссылки на интернет-ресурсы по определенным категориям,Наполнение сайтов,$75,3 заявки
Дизайн для детской студии развития,Дизайн сайтов,,46 заявок
Разработка и верстка сайта,HTML-верстка,,6 заявок
64_Реферат_Психология,Дипломы/Курсовые/Рефераты,,3 заявки
63_Реферат История,Дипломы/Курсовые/Рефераты,,3 заявки
Дизайн для интернет-аукциона,Дизайн сайтов,,исполнитель выбран
Подобрать темы для Wordpress проекта,Сайты «под ключ»,,5 заявок
Перенести сайты и домены с одного хостинга на другой,Системы управления (CMS),,7 заявок
Устранение проблем с сайтом (через поисковою выдачу Google),Поисковые системы (SEO),,7 заявок
SMM Лидогенерация из соцсетей,Социальные сети (SMM/SMO),,3 заявки
Разработать визитку и простой логотип,"Знаки/Логотипы, Дизайн продукции",,18 заявок
Доработать скрипт синхронизации регистраций на вебинары,Веб-программирование,,1 заявка
Исправить отредактировать скрипт во флеше,Веб-программирование,,нет заявок
Нужно разместить статьи на сайте! сайт на Joomla! 3.4.8!,Наполнение сайтов,,13 заявок
"Сайт (продажа, монтаж, сервис кондиционеров)","Сайты «под ключ», Поисковые системы (SEO)",,32 заявки
"Создать лэндинг по теме ""пожарная сигнализация""",Сайты «под ключ»,,20 заявок
Требуется веб-разработчик на проект,Веб-программирование,,5 заявок
Сделать одностраничник,HTML-верстка,,37 заявок
Дизайн главной старницы сайта,Дизайн сайтов,,30 заявок
Добавление товаров на сайт,Наполнение сайтов,,32 заявки
Верстка интернет-магазина с мобильной версией,HTML-верстка,,исполнитель выбран
Отчёт в PDF OpenCart,Интернет-магазины,,1 заявка
Вылечить сайт от вирусов,Веб-программирование,,7 заявок
Коммерческое предложение,Презентации,$8,4 заявки
Создать презентацию ПО по типу примера + интересные штуки,Презентации,,7 заявок
Верстка лендинга с эффектами,HTML-верстка,,13 заявок
Выполнить задание по ГИС ЖКХ 3 вопроса,Дипломы/Курсовые/Рефераты,$8,нет заявок
Парсер,Веб-программирование,,исполнитель выбран
Перевести с русского на английский описание одежды,Переводы,,23 заявки
Нужно сделать парсилку данных из xml,Веб-программирование,,10 заявок
Разработка реалистичных текстур,Иллюстрации/Рисунки,,1 заявка
Техническая доработка каталога скидочных купонов,Дизайн сайтов,,4 заявки
Верстка отображения статей в К2 на joomla 3,HTML-верстка,,7 заявок
Разработка сайта,Сайты «под ключ»,,13 заявок
Добавить в парсинг 50 новостных сайтов,Веб-программирование,,3 заявки
Оформление главной на WP + visual composer и доработка темы,Системы управления (CMS),,1 заявка
Внести мелкие правки в дизайн сайта на WordPress,Дизайн сайтов,,7 заявок
Составить meta Description для страниц на английском языке,Копирайтинг/Рерайтинг,$8,1 заявка
Нужен продающий копирайт,Копирайтинг/Рерайтинг,,8 заявок
Техническое задание,Копирайтинг/Рерайтинг,,1 заявка
Монтаж видео для футбольного канала,Видеомонтаж,,16 заявок
Создание сайта под ключ,Сайты «под ключ»,,20 заявок
Программист для интеграции магазина на OpenCart с Retail CRM.,Интернет-магазины,,1 заявка
Написание и размещение комментариев\постов со скрытой рекламой,Копирайтинг/Рерайтинг,,5 заявок
Верстка и программирование сайта,Веб-программирование,,7 заявок
Объединить авторизацию,Веб-программирование,,нет заявок
Ищу Аngular Js (frontend) разработчика,Веб-программирование,,1 заявка
Копирайт текстов на тему строительство домов,Копирайтинг/Рерайтинг,,24 заявки
Написание поста для группы ВК,Копирайтинг/Рерайтинг,,4 заявки
Требуется контент менеджер.,Наполнение сайтов,,14 заявок
Виртуальный тур,Веб-программирование,,1 заявка
Нарисовать презентацию о компании для отправки по e-mail,Презентации,,3 заявки
Нормативное регулирование и порядок учета валютных операций в РФ,Дипломы/Курсовые/Рефераты,,1 заявка
Программист на Joomla + K2,Системы управления (CMS),,1 заявка
Разработать мобильное приложение под iOS/Android,ПО для мобильных устройств,,1 заявка
Требуется сверстать несколько макетов на bootstrap 3,HTML-верстка,$70,41 заявка
Требуется сверстать несколько макетов на bootstrap 3,HTML-верстка,$70,41 заявка
Подмена мастерсервера в клиенте игры CS 1.6,Веб-программирование,,1 заявка
Русско-финский и русско-норвежский переводчик,Переводы,,4 заявки
Нужен креативный дизайнер на проект,Дизайн сайтов,,24 заявки
Портал коммерческой недвижимости,Сайты «под ключ»,,11 заявок
Создать две программы на с++,Прикладное ПО,,2 заявки
Рерайт 100 текстов по 2000 симв. на тему ремонт техники,Копирайтинг/Рерайтинг,,9 заявок
Добавить на сайте публикацию новостей и статей,Веб-программирование,,4 заявки
Перенести сайт на CMS,Веб-программирование,,16 заявок
Нужно наполнить группы в соц. сетях,Социальные сети (SMM/SMO),,20 заявок
Отображение групп пользователей на форуме,Системы управления (CMS),,нет заявок
Сделать чат для Joomla,Веб-программирование,,нет заявок
Гугл фиид для сайта средствами API MAGENTO,Интернет-магазины,,1 заявка
Создание специальной YML под tiu.ru для magento используя Magento api,Интернет-магазины,,нет заявок
62_ТО и ремонт транспорта,Дипломы/Курсовые/Рефераты,,нет заявок
Разработать логотип для компании по продаже автозапчастей,Знаки/Логотипы,$100,32 заявки
"Рерайт записей и добавление на сайт (тематика - дети, материнство)",Копирайтинг/Рерайтинг,,6 заявок
Баннер,Баннеры,,исполнитель выбран
Настроить фильтрацию товаров опенкарт 2,HTML-верстка,$15,1 заявка
Нужна верстка интернет-магазина. Дизайн есть!,HTML-верстка,,6 заявок
Иллюстрация к книге,Иллюстрации/Рисунки,,7 заявок
Создание Landing,Веб-программирование,$50,4 заявки
Логотип. Мебель на заказ,Знаки/Логотипы,$50,26 заявок
Курсовая работа веб-программирование (надо очень срочно),Дипломы/Курсовые/Рефераты,$105,3 заявки
Логотип для турфирмы,Знаки/Логотипы,$40,17 заявок
Практическая часть дипломной работы,Дипломы/Курсовые/Рефераты,$40,2 заявки
Помощь по Битриксу,Веб-программирование,,1 заявка
Аэрофотографирование в центре Киева,Фотография (съемка),,нет заявок
"Рерайт 150 статей, исходники предоставляю",Копирайтинг/Рерайтинг,,исполнитель выбран
Интеграция сайта на Битрикс,Системы управления (CMS),,8 заявок
"Контент для сайта РУС, АНГ язык",Переводы,,13 заявок
Дизайн лендинга,Дизайн сайтов,,37 заявок
Нужен разработчик на Wordpress,Системы управления (CMS),,1 заявка
Дизайн сайта компании-поставщика мяса,Дизайн сайтов,$165,47 заявок
Создание адаптивного дизайна для кино сайта,Дизайн сайтов,,39 заявок
Помощник по Аргентине,Управление проектами,,2 заявки
Необходимо перекинуть сайт с Virtuemar 2 на VM3,Веб-программирование,,4 заявки
Мобильная версия сайта,Веб-программирование,,4 заявки
Интегрировать дизайн на опенкарт 2,HTML-верстка,$100,3 заявки
Создание адаптивной верстки на основе существующего дизайна сайта,HTML-верстка,,8 заявок
Нужен программист для работы с WP Woocommerce,Веб-программирование,,1 заявка
Починить или доработать аналитику. Привязка прайсов поставщиков к карт,Наполнение сайтов,,нет заявок
Доработка интернет-магазина WebAsyst - Shop-Script,Интернет-магазины,,исполнитель выбран
Разработка каталога товаров и корзины на сайте (Django),Веб-программирование,,3 заявки
"Интергировать дизайн в magento, + последующая поддержка.",Дизайн сайтов,,2 заявки
"Нужна выпускная аттестационная работа (диплом) ""строительство детсада""",Дипломы/Курсовые/Рефераты,,1 заявка
«Muay Thai Interview»,Переводы,,15 заявок
Требуется сотрудник в службу поддержки,Служба поддержки,,37 заявок
Ищем дизайнера для 2D графики,Анимация,,9 заявок
13 иллюстраций в стиле Fallout,Иллюстрации/Рисунки,$150,13 заявок
Копирайт и рерайт,Копирайтинг/Рерайтинг,,исполнитель выбран
Подготовить серию постов (на английском) для блога компании,Копирайтинг/Рерайтинг,,3 заявки
Создание прототипа для имиджевого сайта,Дизайн сайтов,$100,9 заявок
Фавикон для сайта в векторном виде.,Пиксел-арт/Иконки,,исполнитель выбран
Задачи по сайту на NetCat cms,Системы управления (CMS),,нет заявок
Верстка сайта (одностраничник с последующим добавлением страниц),HTML-верстка,,13 заявок
Нужен модуль подключения к серверу Memcached для Simpla CMS,Веб-программирование,,нет заявок
Курсовая работа по психологии,Дипломы/Курсовые/Рефераты,,4 заявки
Адаптировать плагин WP для Joomla,Веб-программирование,,1 заявка
"Настроить работу модуля ""Минимагазин"" . Netcat.",Интернет-магазины,$15,1 заявка
"Настроить работу модуля ""Минимагазин"" . Netcat.",Интернет-магазины,$15,1 заявка
Нужно нарисовать 3D логотип-талисман для организации C.P.I,"Знаки/Логотипы, 3D-графика",,5 заявок
Правки (вёрстка) сайта на Джумле,HTML-верстка,,7 заявок
Разработки и создание интернет-магазина товаров для активного отдыха,Интернет-магазины,,11 заявок
Написать модуль и компонент joomla 3,Системы управления (CMS),$40,1 заявка
Требуется сделать (нарисовать) коллаж для группы в ФБ,Иллюстрации/Рисунки,,8 заявок
Доработка веб-сайта на drupal,Веб-программирование,$500,3 заявки
Диплом физическая культура.,Дипломы/Курсовые/Рефераты,,2 заявки
10-20 минутный ролик с различными вариантами проявления логотипа,Видеомонтаж,,9 заявок
